ASSIGNMENT_ID,CLAIM_ID,ADJUSTER_ID,ASSIGNMENT_DATE,SCORE,ASSIGNED_BY,EXPLANATION
34,1034,33,05/26/2026,0.93,System,"""Auto expertise + excellent performance"""
35,1035,34,05/27/2026,0.87,System,"""Property match + low workload"""
36,1036,35,05/27/2026,0.71,System,"""Commercial match + moderate performance"""
37,1037,36,05/28/2026,0.89,System,"""Liability expertise + strong metrics"""
38,1038,37,05/28/2026,0.76,System,"""Auto match + acceptable workload"""
39,1039,38,05/29/2026,0.84,System,"""Property expertise + jurisdiction match"""
40,1040,39,05/29/2026,0.9,System,"""Commercial expertise + high satisfaction"""
41,1041,40,05/30/2026,0.79,System,"""Auto match + moderate workload"""
42,1042,41,05/30/2026,0.88,System,"""Liability expertise + strong performance"""
43,1043,42,05/31/2026,0.77,System,"""Property match + acceptable workload"""
44,1044,43,05/31/2026,0.91,System,"""Commercial expertise + strong metrics"""
45,1045,44,06/01/2026,0.83,System,"""Auto specialty + jurisdiction match"""
46,1046,45,06/01/2026,0.72,System,"""Liability match + moderate workload"""
47,1047,46,06/02/2026,0.89,System,"""Property expertise + strong performance"""
48,1048,47,06/02/2026,0.78,System,"""Commercial match + acceptable workload"""
49,1049,48,06/03/2026,0.85,System,"""Auto expertise + low workload"""
50,1050,49,06/03/2026,0.92,System,"""Property match + excellent performance"""
51,1051,50,06/04/2026,0.8,System,"""Commercial match + strong metrics"""
52,1052,51,06/04/2026,0.74,System,"""Auto specialty + moderate workload"""
53,1053,52,06/05/2026,0.88,System,"""Liability expertise + strong performance"""
54,1054,53,06/05/2026,0.79,System,"""Property match + acceptable workload"""
55,1055,54,06/06/2026,0.91,System,"""Commercial expertise + high satisfaction"""
56,1056,55,06/06/2026,0.76,System,"""Auto match + moderate workload"""
57,1057,56,06/07/2026,0.84,System,"""Property expertise + jurisdiction match"""
58,1058,57,06/07/2026,0.9,System,"""Liability expertise + strong metrics"""
59,1059,58,06/08/2026,0.78,System,"""Commercial match + acceptable workload"""
60,1060,59,06/08/2026,0.86,System,"""Auto specialty + strong performance"""
61,1061,60,06/09/2026,0.82,System,"""Property match + low workload"""
62,1062,61,06/09/2026,0.89,System,"""Commercial expertise + strong metrics"""
63,1063,62,06/10/2026,0.77,System,"""Liability match + moderate workload"""
64,1064,63,06/10/2026,0.93,System,"""Auto expertise + excellent performance"""
65,1065,64,06/11/2026,0.87,System,"""Property match + strong satisfaction"""
66,1066,65,06/11/2026,0.71,System,"""Commercial match + moderate performance"""
67,1067,66,06/12/2026,0.89,System,"""Liability expertise + strong metrics"""
68,1068,67,06/12/2026,0.76,System,"""Auto match + acceptable workload"""
69,1069,68,06/13/2026,0.84,System,"""Property expertise + jurisdiction match"""
70,1070,69,06/13/2026,0.9,System,"""Commercial expertise + high satisfaction"""
71,1071,70,06/14/2026,0.79,System,"""Auto match + moderate workload"""
72,1072,71,06/14/2026,0.88,System,"""Liability expertise + strong performance"""
73,1073,72,06/15/2026,0.77,System,"""Property match + acceptable workload"""
74,1074,73,06/15/2026,0.91,System,"""Commercial expertise + strong metrics"""
75,1075,74,06/16/2026,0.83,System,"""Auto specialty + jurisdiction match"""
76,1076,75,06/16/2026,0.72,System,"""Liability match + moderate workload"""
77,1077,76,06/17/2026,0.89,System,"""Property expertise + strong performance"""
78,1078,77,06/17/2026,0.78,System,"""Commercial match + acceptable workload"""
79,1079,78,06/18/2026,0.85,System,"""Auto expertise + low workload"""
80,1080,79,06/18/2026,0.92,System,"""Property match + excellent performance"""
81,1081,80,06/19/2026,0.8,System,"""Commercial match + strong metrics"""
82,1082,81,06/19/2026,0.74,System,"""Auto specialty + moderate workload"""
83,1083,82,06/20/2026,0.88,System,"""Liability expertise + strong performance"""
84,1084,83,06/20/2026,0.79,System,"""Property match + acceptable workload"""
85,1085,84,06/21/2026,0.91,System,"""Commercial expertise + high satisfaction"""
86,1086,85,06/21/2026,0.76,System,"""Auto match + moderate workload"""
87,1087,86,06/22/2026,0.84,System,"""Property expertise + jurisdiction match"""
88,1088,87,06/22/2026,0.9,System,"""Liability expertise + strong metrics"""
89,1089,88,06/23/2026,0.78,System,"""Commercial match + acceptable workload"""
90,1090,89,06/23/2026,0.86,System,"""Auto specialty + strong performance"""
91,1091,90,06/24/2026,0.82,System,"""Property match + low workload"""
92,1092,91,06/24/2026,0.89,System,"""Commercial expertise + strong metrics"""
93,1093,92,06/25/2026,0.77,System,"""Liability match + moderate workload"""
94,1094,93,06/25/2026,0.93,System,"""Auto expertise + excellent performance"""
95,1095,94,06/26/2026,0.87,System,"""Property match + strong satisfaction"""
96,1096,95,06/26/2026,0.71,System,"""Commercial match + moderate performance"""
97,1097,96,06/27/2026,0.89,System,"""Liability expertise + strong metrics"""
98,1098,97,06/27/2026,0.76,System,"""Auto match + acceptable workload"""
99,1099,98,06/28/2026,0.84,System,"""Property expertise + jurisdiction match"""
100,1100,99,06/28/2026,0.9,System,"""Commercial expertise + high satisfaction"""
